elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
20.625,30.5,0.0311,1,0.077,1.12,NORMAL,INSTANT,1
20.649,29.6,0.0290,1,0.101,1.36,NORMAL,INSTANT,1
20.684,30.9,0.0297,1,0.136,1.71,NORMAL,INSTANT,1
20.714,30.6,0.0297,1,0.166,2.00,NORMAL,INSTANT,1
20.749,30.9,0.0291,1,0.201,2.34,NORMAL,INSTANT,1
20.781,30.7,0.0299,1,0.233,2.66,NORMAL,INSTANT,1
20.817,30.7,0.0295,1,0.269,3.01,NORMAL,INSTANT,1
20.849,30.5,0.0271,1,0.301,3.31,NORMAL,INSTANT,1
20.882,30.6,0.0279,1,0.334,3.63,NORMAL,INSTANT,1
20.915,30.5,0.0289,1,0.367,3.94,NORMAL,INSTANT,1
20.962,30.5,0.0274,1,0.411,4.36,WARNING,INSTANT,1
20.982,29.7,0.0284,1,0.434,4.57,WARNING,INSTANT,1
21.017,31.1,0.0270,1,0.469,4.89,WARNING,INSTANT,1
21.048,30.9,0.0241,1,0.500,5.18,WARNING,INSTANT,1
21.084,31.0,0.0259,1,0.536,5.52,WARNING,INSTANT,1
21.114,30.7,0.0245,1,0.566,5.79,WARNING,INSTANT,1
21.149,31.0,0.0265,1,0.602,6.11,WARNING,INSTANT,1
21.182,30.7,0.0264,1,0.633,6.39,WARNING,INSTANT,1
21.221,30.8,0.0258,1,0.673,6.75,WARNING,INSTANT,1
21.248,30.2,0.0246,1,0.699,6.98,WARNING,INSTANT,1
21.293,31.1,0.0245,1,0.745,7.39,WARNING,INSTANT,1
21.316,30.1,0.0244,1,0.767,7.58,WARNING,INSTANT,1
21.350,31.7,0.0253,1,0.802,7.89,WARNING,INSTANT,1
21.380,31.4,0.0256,1,0.832,8.14,WARNING,INSTANT,1
21.416,31.6,0.0272,1,0.868,8.45,WARNING,INSTANT,1
21.446,31.2,0.0255,1,0.898,8.71,WARNING,INSTANT,1
21.482,31.4,0.0235,1,0.934,9.02,WARNING,INSTANT,1
21.517,31.1,0.0256,1,0.969,9.32,WARNING,INSTANT,1
21.553,30.8,0.0264,1,1.004,9.60,CRITICAL,INSTANT,1
21.581,30.6,0.0267,1,1.033,9.85,CRITICAL,INSTANT,1
21.682,30.9,0.0271,1,1.134,10.69,CRITICAL,INSTANT,1
21.697,28.8,0.0294,1,1.149,10.81,CRITICAL,INSTANT,1
21.721,32.7,0.0324,1,1.173,11.00,CRITICAL,INSTANT,1
21.755,33.6,0.0336,1,1.207,11.27,CRITICAL,INSTANT,1
21.780,33.2,0.0324,1,1.232,11.48,CRITICAL,INSTANT,1
21.818,33.8,0.0297,1,1.270,11.78,CRITICAL,INSTANT,1
21.848,33.1,0.0324,1,1.301,12.02,CRITICAL,INSTANT,1
21.883,33.1,0.0270,1,1.335,12.29,CRITICAL,INSTANT,1
21.917,32.7,0.0270,1,1.369,12.56,CRITICAL,INSTANT,1
21.958,32.3,0.1125,1,1.410,12.88,CRITICAL,INSTANT,1
21.985,31.5,0.2235,1,1.437,13.09,CRITICAL,INSTANT,1
22.016,32.1,0.2668,0,0.000,13.06,CRITICAL,INSTANT,1
22.052,32.2,0.2978,0,0.000,13.01,CRITICAL,INSTANT,1
22.084,31.8,0.3126,0,0.000,12.98,CRITICAL,INSTANT,1
22.116,31.6,0.3225,0,0.000,12.94,CRITICAL,INSTANT,1
22.151,31.6,0.3204,0,0.000,12.90,CRITICAL,INSTANT,1
22.181,31.3,0.3288,0,0.000,12.87,CRITICAL,INSTANT,1
22.218,31.5,0.3349,0,0.000,12.82,CRITICAL,INSTANT,1
22.250,31.0,0.3412,0,0.000,12.79,CRITICAL,INSTANT,1
22.292,31.0,0.3407,0,0.000,12.74,CRITICAL,INSTANT,1
22.314,30.3,0.3322,0,0.000,12.72,CRITICAL,INSTANT,1
22.350,31.7,0.3348,0,0.000,12.68,CRITICAL,INSTANT,1
22.391,31.3,0.3410,0,0.000,12.63,CRITICAL,INSTANT,1
22.418,30.6,0.3417,0,0.000,12.60,CRITICAL,INSTANT,1
22.449,31.3,0.3324,0,0.000,12.57,CRITICAL,INSTANT,1
22.483,31.4,0.3171,0,0.000,12.53,CRITICAL,INSTANT,1
22.515,31.2,0.3147,0,0.000,12.50,CRITICAL,INSTANT,1
22.549,31.3,0.3158,0,0.000,12.46,CRITICAL,INSTANT,1
22.583,31.0,0.3163,0,0.000,12.43,CRITICAL,INSTANT,1
22.623,30.9,0.3119,0,0.000,12.39,CRITICAL,INSTANT,1
22.647,30.3,0.3163,0,0.000,12.36,CRITICAL,INSTANT,1
22.685,31.5,0.3118,0,0.000,12.32,CRITICAL,INSTANT,1
22.715,30.9,0.3132,0,0.000,12.29,CRITICAL,INSTANT,1
22.750,31.1,0.3068,0,0.000,12.26,CRITICAL,INSTANT,1
22.782,30.9,0.3075,0,0.000,12.22,CRITICAL,INSTANT,1
22.816,30.9,0.3104,0,0.000,12.19,CRITICAL,INSTANT,1
22.848,30.7,0.3070,0,0.000,12.16,CRITICAL,INSTANT,1
22.883,30.8,0.3059,0,0.000,12.12,CRITICAL,INSTANT,1
22.913,30.6,0.3074,0,0.000,12.09,CRITICAL,INSTANT,1
22.955,30.9,0.3029,0,0.000,12.05,CRITICAL,INSTANT,1
